Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
0;16886;POINT (21.2240771 48.7077919);21.2240771;48.7077919;Stropkovsk‡;10;Stropkovsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
1;17467;POINT (21.2259599 48.7082246);21.2259599;48.7082246;Brnensk‡;9;Brnensk‡ 9;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
2;17448;POINT (21.2283829 48.7077276);21.2283829;48.7077276;Jihlavsk‡;10;Jihlavsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
3;17449;POINT (21.2283532 48.7078069);21.2283532;48.7078069;Jihlavsk‡;12;Jihlavsk‡ 12;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
4;17452;POINT (21.2283236 48.7078862);21.2283236;48.7078862;Jihlavsk‡;14;Jihlavsk‡ 14;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
5;17454;POINT (21.2282939 48.7079655);21.2282939;48.7079655;Jihlavsk‡;16;Jihlavsk‡ 16;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6;17456;POINT (21.2282642 48.7080448);21.2282642;48.7080448;Jihlavsk‡;18;Jihlavsk‡ 18;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
7;17457;POINT (21.2282345 48.7081242);21.2282345;48.7081242;Jihlavsk‡;20;Jihlavsk‡ 20;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
8;17460;POINT (21.2256003 48.7081649);21.2256003;48.7081649;Brnensk‡;15;Brnensk‡ 15;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
9;17463;POINT (21.2257202 48.7081848);21.2257202;48.7081848;Brnensk‡;13;Brnensk‡ 13;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
10;17465;POINT (21.22584 48.7082047);21.22584;48.7082047;Brnensk‡;11;Brnensk‡ 11;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
11;17468;POINT (21.2261039 48.7081803);21.2261039;48.7081803;Brnensk‡;7;Brnensk‡ 7;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
12;17444;POINT (21.2284423 48.7075689);21.2284423;48.7075689;Jihlavsk‡;6;Jihlavsk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
13;17471;POINT (21.2262479 48.7081361);21.2262479;48.7081361;Brnensk‡;5;Brnensk‡ 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
14;17472;POINT (21.2263918 48.7080918);21.2263918;48.7080918;Brnensk‡;3;Brnensk‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
15;17475;POINT (21.2265358 48.7080475);21.2265358;48.7080475;Brnensk‡;1;Brnensk‡ 1;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
16;17478;POINT (21.2261671 48.7087838);21.2261671;48.7087838;Brnensk‡;26;Brnensk‡ 26;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
17;17481;POINT (21.2254458 48.7109229);21.2254458;48.7109229;Brnensk‡;63;Brnensk‡ 63;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
18;17484;POINT (21.2232688 48.7051081);21.2232688;48.7051081;Kremnick‡;67;Kremnick‡ 67;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
19;17486;POINT (21.2234848 48.7051584);21.2234848;48.7051584;Kremnick‡;65;Kremnick‡ 65;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
20;17488;POINT (21.2237185 48.7051987);21.2237185;48.7051987;Kremnick‡;63;Kremnick‡ 63;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
21;17489;POINT (21.2239395 48.7052424);21.2239395;48.7052424;Kremnick‡;61;Kremnick‡ 61;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
22;17445;POINT (21.2284126 48.7076483);21.2284126;48.7076483;Jihlavsk‡;8;Jihlavsk‡ 8;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
23;17440;POINT (21.2285017 48.7074103);21.2285017;48.7074103;Jihlavsk‡;2;Jihlavsk‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
24;17683;POINT (21.2345755 48.7250885);21.2345755;48.7250885;Popradsk‡;14;Popradsk‡ 14;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
25;17417;POINT (21.2273918 48.7075288);21.2273918;48.7075288;ëilinsk‡;2;ëilinsk‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
26;17398;POINT (21.225417 48.7105982);21.225417;48.7105982;Brnensk‡;55;Brnensk‡ 55;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
27;17401;POINT (21.2254098 48.710517);21.2254098;48.710517;Brnensk‡;53;Brnensk‡ 53;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
28;17403;POINT (21.2275301 48.7081789);21.2275301;48.7081789;Jihlavsk‡;11;Jihlavsk‡ 11;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
29;17404;POINT (21.2269931 48.7080939);21.2269931;48.7080939;Brnensk‡;8;Brnensk‡ 8;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
30;17407;POINT (21.2271167 48.7079526);21.2271167;48.7079526;Brnensk‡;6;Brnensk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
31;17409;POINT (21.2271107 48.7077914);21.2271107;48.7077914;Brnensk‡;4;Brnensk‡ 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
32;17410;POINT (21.2277093 48.7078948);21.2277093;48.7078948;Jihlavsk‡;7;Jihlavsk‡ 7;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
33;17413;POINT (21.2272253 48.7076541);21.2272253;48.7076541;Brnensk‡;2;Brnensk‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
34;17414;POINT (21.2278629 48.7077581);21.2278629;48.7077581;Jihlavsk‡;5;Jihlavsk‡ 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
35;17418;POINT (21.2278303 48.7075953);21.2278303;48.7075953;Jihlavsk‡;3;Jihlavsk‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
36;17438;POINT (21.2257457 48.7084196);21.2257457;48.7084196;Brnensk‡;19;Brnensk‡ 19;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
37;17421;POINT (21.2279973 48.7074583);21.2279973;48.7074583;Jihlavsk‡;1;Jihlavsk‡ 1;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
38;17422;POINT (21.2253635 48.7117372);21.2253635;48.7117372;Brnensk‡;83;Brnensk‡ 83;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
39;17425;POINT (21.2253363 48.7100933);21.2253363;48.7100933;Brnensk‡;49;Brnensk‡ 49;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
40;17427;POINT (21.2253778 48.7097489);21.2253778;48.7097489;Brnensk‡;45;Brnensk‡ 45;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
41;17428;POINT (21.225414 48.7096435);21.225414;48.7096435;Brnensk‡;43;Brnensk‡ 43;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
42;17431;POINT (21.2254893 48.7094304);21.2254893;48.7094304;Brnensk‡;41;Brnensk‡ 41;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
43;17433;POINT (21.2255633 48.7092186);21.2255633;48.7092186;Brnensk‡;37;Brnensk‡ 37;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
44;17434;POINT (21.225607 48.7090405);21.225607;48.7090405;Brnensk‡;35;Brnensk‡ 35;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
45;17436;POINT (21.225718 48.7087396);21.225718;48.7087396;Brnensk‡;27;Brnensk‡ 27;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
46;17491;POINT (21.2241589 48.7053076);21.2241589;48.7053076;Kremnick‡;59;Kremnick‡ 59;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
47;17493;POINT (21.2243472 48.7054153);21.2243472;48.7054153;Kremnick‡;57;Kremnick‡ 57;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
48;17496;POINT (21.2245354 48.7055231);21.2245354;48.7055231;Kremnick‡;55;Kremnick‡ 55;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
49;17572;POINT (21.227168 48.7071801);21.227168;48.7071801;ëilinsk‡;21;ëilinsk‡ 21;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
50;17552;POINT (21.2272684 48.7065772);21.2272684;48.7065772;Kremnick‡;20;Kremnick‡ 20;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
51;17555;POINT (21.2274966 48.7065107);21.2274966;48.7065107;Kremnick‡;16;Kremnick‡ 16;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
52;17558;POINT (21.2277247 48.7064443);21.2277247;48.7064443;Kremnick‡;12;Kremnick‡ 12;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
53;17561;POINT (21.2285363 48.7063876);21.2285363;48.7063876;Kremnick‡;6;Kremnick‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
54;17564;POINT (21.2286335 48.7064025);21.2286335;48.7064025;Kremnick‡;4;Kremnick‡ 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
55;17565;POINT (21.2287306 48.7064175);21.2287306;48.7064175;Kremnick‡;2;Kremnick‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
56;17566;POINT (21.226489 48.7073842);21.226489;48.7073842;ëilinsk‡;33;ëilinsk‡ 33;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
57;17567;POINT (21.2266021 48.7073502);21.2266021;48.7073502;ëilinsk‡;31;ëilinsk‡ 31;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
58;17569;POINT (21.2267153 48.7073161);21.2267153;48.7073161;ëilinsk‡;29;ëilinsk‡ 29;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
59;17573;POINT (21.2272812 48.707146);21.2272812;48.707146;ëilinsk‡;19;ëilinsk‡ 19;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
60;17497;POINT (21.2247197 48.705623);21.2247197;48.705623;Kremnick‡;53;Kremnick‡ 53;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
61;17576;POINT (21.2225747 48.7050312);21.2225747;48.7050312;Kremnick‡;73;Kremnick‡ 73;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
62;17577;POINT (21.2290774 48.7064614);21.2290774;48.7064614;Martinsk‡;6;Martinsk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
63;17579;POINT (21.2273943 48.707112);21.2273943;48.707112;ëilinsk‡;17;ëilinsk‡ 17;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
64;17582;POINT (21.2240354 48.7059608);21.2240354;48.7059608;Slia‹ska;4;Slia‹ska 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
65;17583;POINT (21.2242577 48.7058278);21.2242577;48.7058278;Slia‹ska;2;Slia‹ska 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
66;17586;POINT (21.2231985 48.7055403);21.2231985;48.7055403;Kremnick‡;44;Kremnick‡ 44;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
67;17587;POINT (21.2240556 48.7064147);21.2240556;48.7064147;Slia‹ska;7;Slia‹ska 7;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
68;17589;POINT (21.2276106 48.7064775);21.2276106;48.7064775;Kremnick‡;14;Kremnick‡ 14;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
69;17591;POINT (21.2270548 48.7072141);21.2270548;48.7072141;ëilinsk‡;23;ëilinsk‡ 23;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
70;17551;POINT (21.2270403 48.7066436);21.2270403;48.7066436;Kremnick‡;24;Kremnick‡ 24;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
71;17548;POINT (21.2269262 48.7066768);21.2269262;48.7066768;Kremnick‡;26;Kremnick‡ 26;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
72;17547;POINT (21.2255567 48.7076486);21.2255567;48.7076486;ëilinsk‡;37;ëilinsk‡ 37;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
73;17544;POINT (21.2257947 48.7073582);21.2257947;48.7073582;átiavnick‡;4;átiavnick‡ 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
74;17500;POINT (21.2249119 48.7057386);21.2249119;48.7057386;Kremnick‡;51;Kremnick‡ 51;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;3.0
75;17501;POINT (21.2251002 48.7058463);21.2251002;48.7058463;Kremnick‡;49;Kremnick‡ 49;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
76;17503;POINT (21.2254767 48.7060618);21.2254767;48.7060618;Kremnick‡;45;Kremnick‡ 45;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
77;17506;POINT (21.2242316 48.7062781);21.2242316;48.7062781;Slia‹ska;5;Slia‹ska 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
78;17507;POINT (21.2248125 48.7066254);21.2248125;48.7066254;Lu‹eneck‡;6;Lu‹eneck‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
79;17509;POINT (21.2262335 48.7062198);21.2262335;48.7062198;Kremnick‡;37;Kremnick‡ 37;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
80;17512;POINT (21.2263606 48.7062399);21.2263606;48.7062399;Kremnick‡;35;Kremnick‡ 35;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
81;17514;POINT (21.2266148 48.7062801);21.2266148;48.7062801;Kremnick‡;31;Kremnick‡ 31;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
82;17516;POINT (21.2268857 48.7062601);21.2268857;48.7062601;Kremnick‡;27;Kremnick‡ 27;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
83;17518;POINT (21.2271612 48.7061826);21.2271612;48.7061826;Kremnick‡;23;Kremnick‡ 23;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
84;17524;POINT (21.2274327 48.7061064);21.2274327;48.7061064;Kremnick‡;19;Kremnick‡ 19;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
85;17525;POINT (21.2275846 48.7060649);21.2275846;48.7060649;Kremnick‡;17;Kremnick‡ 17;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
86;17526;POINT (21.228095 48.7058524);21.228095;48.7058524;Kremnick‡;13;Kremnick‡ 13;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
87;17529;POINT (21.22833 48.7058892);21.22833;48.7058892;Kremnick‡;11;Kremnick‡ 11;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
88;17530;POINT (21.2285651 48.705926);21.2285651;48.705926;Kremnick‡;9;Kremnick‡ 9;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
89;17534;POINT (21.2292702 48.7060365);21.2292702;48.7060365;Kremnick‡;3;Kremnick‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
90;17535;POINT (21.2295052 48.7060733);21.2295052;48.7060733;Kremnick‡;1;Kremnick‡ 1;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
91;17537;POINT (21.2254492 48.706774);21.2254492;48.706774;Lu‹eneck‡;3;Lu‹eneck‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
92;17540;POINT (21.2253465 48.706902);21.2253465;48.706902;Lu‹eneck‡;5;Lu‹eneck‡ 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
93;17397;POINT (21.2254242 48.7106794);21.2254242;48.7106794;Brnensk‡;57;Brnensk‡ 57;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
94;17364;POINT (21.2254314 48.7107606);21.2254314;48.7107606;Brnensk‡;59;Brnensk‡ 59;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
95;17363;POINT (21.2254386 48.7108418);21.2254386;48.7108418;Brnensk‡;61;Brnensk‡ 61;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
96;17226;POINT (21.2235535 48.7108499);21.2235535;48.7108499;Trnavsk‡;1;Trnavsk‡ 1;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
97;17206;POINT (21.2202969 48.7077126);21.2202969;48.7077126;PlzeËsk‡;14;PlzeËsk‡ 14;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
98;17207;POINT (21.2202918 48.7077944);21.2202918;48.7077944;PlzeËsk‡;12;PlzeËsk‡ 12;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
99;17210;POINT (21.2202982 48.7078822);21.2202982;48.7078822;PlzeËsk‡;10;PlzeËsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
100;17211;POINT (21.2203039 48.7079625);21.2203039;48.7079625;PlzeËsk‡;8;PlzeËsk‡ 8;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
101;17214;POINT (21.2200183 48.7063949);21.2200183;48.7063949;Karlovarsk‡;9;Karlovarsk‡ 9;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
102;17216;POINT (21.2234683 48.71034);21.2234683;48.71034;Bratislavsk‡;10;Bratislavsk‡ 10;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
103;17219;POINT (21.2234618 48.7104637);21.2234618;48.7104637;Bratislavsk‡;6;Bratislavsk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
104;17222;POINT (21.2234585 48.7105188);21.2234585;48.7105188;Bratislavsk‡;4;Bratislavsk‡ 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
105;17225;POINT (21.2234553 48.7105823);21.2234553;48.7105823;Bratislavsk‡;2;Bratislavsk‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
106;17229;POINT (21.223447 48.7108427);21.223447;48.7108427;Trnavsk‡;3;Trnavsk‡ 3;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
107;17252;POINT (21.2235161 48.7094245);21.2235161;48.7094245;Bratislavsk‡;38;Bratislavsk‡ 38;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
108;17230;POINT (21.2233451 48.7108374);21.2233451;48.7108374;Trnavsk‡;5;Trnavsk‡ 5;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
109;17232;POINT (21.2231433 48.7108361);21.2231433;48.7108361;Trnavsk‡;9;Trnavsk‡ 9;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
110;17235;POINT (21.2230494 48.7108322);21.2230494;48.7108322;Trnavsk‡;11;Trnavsk‡ 11;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
111;17237;POINT (21.2228514 48.7108233);21.2228514;48.7108233;Trnavsk‡;15;Trnavsk‡ 15;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
112;17240;POINT (21.2234812 48.7100744);21.2234812;48.7100744;Bratislavsk‡;18;Bratislavsk‡ 18;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
113;17241;POINT (21.2234844 48.7100109);21.2234844;48.7100109;Bratislavsk‡;20;Bratislavsk‡ 20;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
114;17244;POINT (21.2234877 48.7099474);21.2234877;48.7099474;Bratislavsk‡;22;Bratislavsk‡ 22;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
115;17246;POINT (21.2235006 48.7096935);21.2235006;48.7096935;Bratislavsk‡;30;Bratislavsk‡ 30;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
116;17247;POINT (21.2235039 48.70963);21.2235039;48.70963;Bratislavsk‡;32;Bratislavsk‡ 32;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
117;17203;POINT (21.2202995 48.7076341);21.2202995;48.7076341;PlzeËsk‡;16;PlzeËsk‡ 16;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
118;17201;POINT (21.2206597 48.706571);21.2206597;48.706571;PlzeËsk‡;30;PlzeËsk‡ 30;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
119;17198;POINT (21.220809 48.7062703);21.220809;48.7062703;PlzeËsk‡;34;PlzeËsk‡ 34;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
120;17197;POINT (21.2207639 48.7057649);21.2207639;48.7057649;Karlovarsk‡;8;Karlovarsk‡ 8;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
121;17156;POINT (21.2214263 48.7095507);21.2214263;48.7095507;PlzeËsk‡;57;PlzeËsk‡ 57;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
122;17159;POINT (21.2214173 48.7094688);21.2214173;48.7094688;PlzeËsk‡;59;PlzeËsk‡ 59;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
123;17160;POINT (21.221356 48.7093921);21.221356;48.7093921;PlzeËsk‡;61;PlzeËsk‡ 61;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
124;17162;POINT (21.2212034 48.7090383);21.2212034;48.7090383;PlzeËsk‡;67;PlzeËsk‡ 67;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
125;17165;POINT (21.2211746 48.7089539);21.2211746;48.7089539;PlzeËsk‡;69;PlzeËsk‡ 69;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
126;17166;POINT (21.2211251 48.7088822);21.2211251;48.7088822;PlzeËsk‡;71;PlzeËsk‡ 71;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
127;17169;POINT (21.2210664 48.7088076);21.2210664;48.7088076;PlzeËsk‡;73;PlzeËsk‡ 73;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
128;17171;POINT (21.2210372 48.7086512);21.2210372;48.7086512;PlzeËsk‡;77;PlzeËsk‡ 77;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
129;17172;POINT (21.2210212 48.70857);21.2210212;48.70857;PlzeËsk‡;79;PlzeËsk‡ 79;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
130;17175;POINT (21.2209477 48.7082526);21.2209477;48.7082526;PlzeËsk‡;87;PlzeËsk‡ 87;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
131;17176;POINT (21.2209317 48.7081735);21.2209317;48.7081735;PlzeËsk‡;89;PlzeËsk‡ 89;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
132;17182;POINT (21.2209125 48.7080965);21.2209125;48.7080965;PlzeËsk‡;91;PlzeËsk‡ 91;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
133;17183;POINT (21.2209045 48.7080121);21.2209045;48.7080121;PlzeËsk‡;93;PlzeËsk‡ 93;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
134;17186;POINT (21.2208927 48.707933);21.2208927;48.707933;PlzeËsk‡;95;PlzeËsk‡ 95;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
135;17188;POINT (21.2208807 48.7078499);21.2208807;48.7078499;PlzeËsk‡;97;PlzeËsk‡ 97;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
136;17189;POINT (21.2208545 48.7075297);21.2208545;48.7075297;PlzeËsk‡;105;PlzeËsk‡ 105;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
137;17192;POINT (21.2206952 48.7052921);21.2206952;48.7052921;Karlovarsk‡;2;Karlovarsk‡ 2;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
138;17193;POINT (21.2207061 48.7054467);21.2207061;48.7054467;Karlovarsk‡;4;Karlovarsk‡ 4;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
139;17196;POINT (21.2207561 48.7056325);21.2207561;48.7056325;Karlovarsk‡;6;Karlovarsk‡ 6;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
140;17249;POINT (21.2235205 48.7094914);21.2235205;48.7094914;Bratislavsk‡;36;Bratislavsk‡ 36;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
141;17254;POINT (21.2230769 48.7083321);21.2230769;48.7083321;Bratislavsk‡;54;Bratislavsk‡ 54;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
142;17361;POINT (21.2254603 48.7110853);21.2254603;48.7110853;Brnensk‡;67;Brnensk‡ 67;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
143;17328;POINT (21.2261898 48.7087219);21.2261898;48.7087219;Brnensk‡;24;Brnensk‡ 24;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
144;17311;POINT (21.2259172 48.7094644);21.2259172;48.7094644;Brnensk‡;48;Brnensk‡ 48;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
145;17312;POINT (21.2259399 48.7094025);21.2259399;48.7094025;Brnensk‡;46;Brnensk‡ 46;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
146;17315;POINT (21.2259626 48.7093407);21.2259626;48.7093407;Brnensk‡;44;Brnensk‡ 44;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
147;17316;POINT (21.2260308 48.709155);21.2260308;48.709155;Brnensk‡;38;Brnensk‡ 38;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
148;17319;POINT (21.2260535 48.7090932);21.2260535;48.7090932;Brnensk‡;36;Brnensk‡ 36;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
149;17320;POINT (21.2260762 48.7090313);21.2260762;48.7090313;Brnensk‡;34;Brnensk‡ 34;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
