Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
6118;7323;POINT (21.2257457 48.7086644);21.2257457;48.7086644;Brnensk‡;25;Brnensk‡ 25;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6119;2684;POINT (21.2501064 48.7125527);21.2501064;48.7125527;Lichardova;25;Lichardova 25;Rodinnù dom;Koäice-Juh;Juh;Skladn‡;1.0
6120;7320;POINT (21.2256625 48.7088901);21.2256625;48.7088901;Brnensk‡;31;Brnensk‡ 31;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6121;7319;POINT (21.2256347 48.7089653);21.2256347;48.7089653;Brnensk‡;33;Brnensk‡ 33;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6122;7315;POINT (21.2277385 48.7060235);21.2277385;48.7060235;Kremnick‡;15;Kremnick‡ 15;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6123;2702;POINT (21.2529388 48.7119583);21.2529388;48.7119583;R‡zusova;41;R‡zusova 41;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
6124;2693;POINT (21.2521691 48.7121151);21.2521691;48.7121151;Skladn‡;36;Skladn‡ 36;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
6125;7311;POINT (21.227299 48.7061398);21.227299;48.7061398;Kremnick‡;21;Kremnick‡ 21;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6126;2696;POINT (21.2523101 48.7121346);21.2523101;48.7121346;Skladn‡;34;Skladn‡ 34;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
6127;7309;POINT (21.2270295 48.70622);21.2270295;48.70622;Kremnick‡;25;Kremnick‡ 25;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6128;2697;POINT (21.2526836 48.7121838);21.2526836;48.7121838;Skladn‡;30;Skladn‡ 30;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
6129;2698;POINT (21.2530063 48.7122206);21.2530063;48.7122206;Skladn‡;28;Skladn‡ 28;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
6130;7307;POINT (21.2267419 48.7063002);21.2267419;48.7063002;Kremnick‡;29;Kremnick‡ 29;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6131;7306;POINT (21.2261317 48.7062018);21.2261317;48.7062018;Kremnick‡;39;Kremnick‡ 39;Rodinnù dom;Koäice-Z‡pad;Z‡pad;Terasa;1.0
6132;2700;POINT (21.2530764 48.7121103);21.2530764;48.7121103;R‡zusova;39;R‡zusova 39;Rodinnù dom;Koäice-Juh;Juh;JuìnŽ Mesto;1.0
